"","country","year","vector","popvector","aidvector","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST"
"112","Qatar",1990,"11",1,1,6.6643160859473,11.385625359408,0,0.164216499929391,3.95220968856767
"113","Romania",1990,"11",1,1,0.0363376431217617,2.32317400757311,0,0.0148533644946964,1.41557524186968
"114","Rwanda",1990,"11",1,1,0,20.8555540556549,0,77.0364680915625,0.791330158896903
"115","Saudi Arabia",1990,"11",1,1,4.13496283001271,4.89063532438103,1.571283811748,0.0931212608749833,3.13323577250644
"116","Sudan",1990,"11",1,1,5.99046799598817,0.0148884461060241,0,44.9506428930116,0.542847234378458
"117","Senegal",1990,"11",1,1,0.219916927960804,0.991030184047512,0,101.619008609748,2.39284010443382
"118","Singapore",1990,"11",1,1,9.35542011307682,1.75407563571253,0,0.567513987338191,71.6492387026254
"119","Solomon Islands",1990,"11",1,1,0.0346321456858929,0.361713521608214,0,100.020125317542,21.352116289493
"120","Sierra Leone",1990,"11",1,1,0.0738195485967672,11.5480788602384,0,266.777568680981,3.69478852012306
"121","El Salvador",1990,"11",1,1,7.6160273202132e-05,4.87650421299591,0,82.809997271345,1.27060121611257
"122","Somalia",1990,"11",1,1,1.58187425207008e-05,14.1524594585403,0,0,0
"123","Suriname",1990,"11",1,1,1.58691669360923,2.41429817084521,0,64.8919487509658,-48.7767190316765
"124","Sweden",1990,"41",1,4,2.02293886960083,0.268050499863591,6.1595043654636,0,7.08940068753296
"125","Swaziland",1990,"11",1,1,0.0514646562995521,4.50431654009143,0,39.9703076749248,30.0288569220356
"126","Chad",1990,"11",1,1,0.696187425961166,0.899224608435484,0,120.611511926067,3.32656816635115
"127","Togo",1990,"11",1,1,0.223821753805577,3.48291576686413,0,103.648846940903,0.930734328999952
"128","Thailand",1990,"14",4,1,3.1811773834406e-05,1.95873928102281,0,10.1209724172188,11.4139789907568
"129","Tonga",1990,"11",1,1,0.119808306709265,11.7790482596267,0,143.248794149746,5.9344948970784
"130","Tunisia",1990,"11",1,1,0.0165071481781951,0.553481398849018,0,56.2428966483907,14.0058952775929
"131","Turkey",1990,"14",4,1,0.524824656092956,0.90646278456894,0,9.79431538022978,2.37728177006983
"132","Tanzania",1990,"11",1,1,2.42667904983729,0.127534506749257,0,240.204092960636,1.94067341046999
"133","Uganda",1990,"11",1,1,3.33214855253015,2.66736744945991,0,90.3594883556967,3.27316320791541
"134","Uruguay",1990,"11",1,1,0.153987781942497,0.806144848836989,0,21.9615729565904,3.66905993274179
"135","United States",1990,"53",3,5,2.29553807141169,0.516330225980779,1.22818632497986,2.29961958923933e-05,3.16058511713765
"136","Vanuatu",1990,"11",1,1,0.157536161709847,0.219595861777363,0,129.407673398986,76.2592716258068
"137","Samoa",1990,"11",1,1,0.400945568415559,8.41064685475701,0,242.891216853465,18.1209159215196
"138","South Africa",1990,"14",4,1,2.47738662464474,0.0464728950692093,0,0.624453894254644,0.506602726178813
"139","Zambia",1990,"11",1,1,0.43140596099147,0.590153039207716,0,152.432767927475,19.3716251985177
"140","Zimbabwe",1990,"11",1,1,0.749315364160076,2.59684260152177,0,52.3865634172444,0.775728307510101
"141","Aruba",1995,"11",1,1,8.97716804023604,1.12416901127904,0,2.31305617258884,62.1996615905247
"142","Afghanistan",1995,"11",1,1,0.0756475382771893,2.32236392356498,0,0,0
"143","Angola",1995,"11",1,1,0.0774304885212885,1.04855096343033,0,47.8135290663585,92.2716057867076
"144","Albania",1995,"11",1,1,0.386224411691633,8.86559440664738,0,44.3593910306575,12.1183798752674
"145","United Arab Emirates",1995,"11",1,1,22.2292902026728,2.2561560927788,0.233792317960596,0.0448640386765833,0.311999635376743
"146","Argentina",1995,"44",4,4,0.484023091647455,0.630159013828847,0,11.5586326996581,20.5387847287711
"147","Armenia",1995,"11",1,1,1.21889206691667,8.20145241971188,0,51.127434609965,29.8096320930224
"148","Australia",1995,"41",1,4,3.26328574590527,0.687671536077911,1.67704906542407,0.254874479954233,9.54127721688237
"149","Austria",1995,"11",1,1,1.66851234946739,0.851102591026635,0.320257345980011,0.0551326968245005,6.8995627995458
"150","Azerbaijan",1995,"11",1,1,0.0874430709173715,1.74922576447625,0,16.9819284956405,118.115884070447
"151","Burundi",1995,"11",1,1,0.439892098611483,6.85027961077283,0,122.394338713702,0.421897538983823
"152","Belgium",1995,"41",1,4,1.05460188613559,0.450259948616976,1.42636892373223,0,0
"153","Benin",1995,"11",1,1,0.493797006110272,0.986040298326433,0,90.8924738639439,7.05553152827381
"154","Burkina Faso",1995,"11",1,1,1.44522093234843,2.81210591686161,0,119.488144171886,2.02313066229868
"155","Bangladesh",1995,"13",3,1,0.0903217225203467,0.897884016525584,0,29.4848811616998,1.38252025127628
"156","Bulgaria",1995,"11",1,1,0.144954828459017,1.43558218129834,0,20.845148897116,15.7715590400484
"157","Bahrain",1995,"11",1,1,7.45214907845955,3.99304631649903,0,17.25231912032,58.8295404847056
"158","Belarus",1995,"11",1,1,0.549362370021581,0.550480674906808,0,5.85679292800083,8.00135258459105
"159","Belize",1995,"11",1,1,4.3321962485867,5.28841043283308,0,65.0165673773229,19.4817173659384
"160","Bolivia",1995,"11",1,1,0.189950303407713,1.51689319382411,0,82.4143377151716,52.9721994425141
